state,district,member,party
Georgia,161,Bill Hitchens,R
Georgia,162,Carl Gilliard,D
Georgia,163,Anne Allen Westbrook,D
Georgia,164,Ron Stephens,R
Georgia,165,Edna Jackson,D
Georgia,166,Jesse Petrea,R
Georgia,167,Buddy DeLoach,R
Georgia,168,Al Williams,D
Georgia,169,Angie O'Steen,R
Georgia,170,Jaclyn Ford,R
Georgia,171,Joe Campbell,R
Georgia,172,Charles Cannon,R
Georgia,173,Darlene Taylor,R
Georgia,174,John Corbett,R
Georgia,175,John LaHood,R
Georgia,176,James Burchett,R
Georgia,177,Dexter Sharper,D
Georgia,178,Steven Meeks,R
Georgia,179,Rick Townsend,R
Georgia,180,Steven Sainz,R
Hawaii,1,Matthias Kusch,D
Hawaii,2,Sue Keohokapu-Lee Loy,D
Hawaii,3,Chris Toshiro Todd,D
Hawaii,4,Greggor Ilagan,D
Hawaii,5,Jeanné Kapela,D
Hawaii,6,Kirstin Kahaloa,D
Hawaii,7,Nicole Lowen,D
Hawaii,8,David Tarnas,D
Hawaii,9,Justin Woodson,D
Hawaii,10,Tyson Miyake,D
Hawaii,11,Terez Amato,D
Hawaii,12,Kyle Yamashita,D
Hawaii,13,Mahina Poepoe,D
Hawaii,14,Elle Cochran,D
Hawaii,15,Nadine Nakamura,D
Hawaii,16,Luke Evslin,D
Hawaii,17,Dee Morikawa,D
Hawaii,18,Joe Gedeon,R
Hawaii,19,Mark Hashem,D
Hawaii,20,Tina Nakada Grandinetti,D
Hawaii,21,Jackson Sayama,D
Hawaii,22,Andrew Takuya Garrett,D
Hawaii,23,Ikaika Olds,D
Hawaii,24,Adrian Tam,D
Hawaii,25,Kim Coco Iwamoto,D
Hawaii,26,Della Au Belatti,D
Hawaii,27,Jenna Takenouchi,D
Hawaii,28,Vacant,
Hawaii,29,Ikaika Hussey,D
Hawaii,30,Shirley Ann Templo,D
Hawaii,31,Linda Ichiyama,D
Hawaii,32,Garner Shimizu,R
Hawaii,33,Sam Satoru Kong,D
Hawaii,34,Gregg Takayama,D
Hawaii,35,Cory Chun,D
Hawaii,36,Daisy Hartsfield,D
Hawaii,37,Trish La Chica,D
Hawaii,38,Lauren Matsumoto,R
Hawaii,39,Elijah Pierick,R
Hawaii,40,Julie Reyes Oda,R
Hawaii,41,David Alcos,R
Hawaii,42,Diamond Garcia,R
Hawaii,43,Kanani Souza,R
Hawaii,44,Darius Kila,D
Hawaii,45,Chris Muraoka,R
Hawaii,46,Amy Perruso,D
Hawaii,47,Sean Quinlan,D
Hawaii,48,Lisa Kitagawa,D
Hawaii,49,Scot Matayoshi,D
Hawaii,50,Mike Lee,D
Hawaii,51,Lisa Marten,D
Idaho,1,Mark Sauter (R) ▌ Cornel Rasor,R
Idaho,2,Heather Scott (R) ▌ Dale Hawkins,R
Idaho,3,Vito Barbieri (R) ▌ Jordan Redman,R
Idaho,4,Joe Alfieri (R) ▌ Elaine Price,R
Idaho,5,Ron Mendive (R) ▌ Tony Wisniewski,R
Idaho,6,Lori McCann (R) ▌ Brandon Mitchell,R
Idaho,7,Kyle Harris (R) ▌ Charlie Shepherd,R
Idaho,8,Rob Beiswenger (R) ▌ Faye Thompson,R
Idaho,9,John Shirts (R) ▌ Judy Boyle,R
Idaho,10,Mike Moyle (R) ▌ Bruce Skaug,R
Idaho,11,Kent Marmon (R) ▌ Lucas Cayler,R
Idaho,12,Jeff Cornilles (R) ▌ Jaron Crane,R
Idaho,13,Brent Crane (R) ▌ Steve Tanner,R
Idaho,14,Ted Hill (R) ▌ Josh Tanner,R
Idaho,15,Steve Berch (D) ▌ Dori Healey,R
Idaho,16,Soñia Galaviz (D) ▌ Anne Henderson Haws,D
Idaho,17,John Gannon (D) ▌ Megan Egbert,D
Idaho,18,Ilana Rubel (D) ▌ Brooke Green,D
Idaho,19,Monica Church (D) ▌ Chris Mathias,D
Idaho,20,Joe Palmer (R) ▌ James Holtzclaw,R
Idaho,21,James Petzke (R) ▌ Jeff Ehlers,R
Idaho,22,John Vander Woude (R) ▌ Jason Monks,R
Idaho,23,Chris Bruce (R) ▌ Shawn Dygert,R
Idaho,24,Clint Hostetler (R) ▌ Steve Miller,R
Idaho,25,Don Hall (R) ▌ David Leavitt,R
Idaho,26,Mike Pohanka (R) ▌ Jack Nelsen,R
Idaho,27,Douglas Pickett (R) ▌ Clay Handy,R
Idaho,28,Richard Cheatum (R) ▌ Dan Garner,R
Idaho,29,Dustin Manwaring (R) ▌ Tanya Burgoyne,R
Idaho,30,David Cannon (R) ▌ Ben Fuhriman,R
Idaho,31,Jerald Raymond (R) ▌ Rod Furniss,R
Idaho,32,Stephanie Mickelsen (R) ▌ Erin Bingham,R
Idaho,33,Barbara Ehardt (R) ▌ Marco Erickson,R
Idaho,34,Jon Weber (R) ▌ Britt Raybould,R
Idaho,35,Mike Veile (R) ▌ Josh Wheeler,R
Illinois,1,Aaron Ortiz,D
Illinois,2,Elizabeth Hernandez,D
Illinois,3,Eva-Dina Delgado,D
Illinois,4,Lilian Jiménez,D
Illinois,5,Kimberly du Buclet,D
Illinois,6,Sonya Harper,D
Illinois,7,Chris Welch,D
Illinois,8,La Shawn Ford,D
Illinois,9,Yolonda Morris,D
Illinois,10,Jawaharial Williams,D
Illinois,11,Ann Williams,D
Illinois,12,Margaret Croke,D
Illinois,13,Hoan Huynh,D
Illinois,14,Kelly Cassidy,D
Illinois,15,Michael Kelly,D
Illinois,16,Kevin Olickal,D
Illinois,17,Jennifer Gong-Gershowitz,D
Illinois,18,Robyn Gabel,D
Illinois,19,Lindsey LaPointe,D
Illinois,20,Bradley Stephens,R
Illinois,21,Abdelnasser Rashid,D
Illinois,22,Angelica Guerrero-Cuellar,D
Illinois,23,Edgar Gonzalez Jr.,D
Illinois,24,Theresa Mah,D
Illinois,25,Curtis Tarver,D
Illinois,26,Kam Buckner,D
Illinois,27,Justin Slaughter,D
Illinois,28,Robert Rita,D
Illinois,29,Thaddeus Jones,D
Illinois,30,Will Davis,D
Illinois,31,Michael Crawford,D
Illinois,32,Lisa Davis,D
Illinois,33,Marcus C. Evans Jr.,D
Illinois,34,Nicholas Smith,D
Illinois,35,Mary Gill,D
Illinois,36,Rick Ryan,D
Illinois,37,Patrick Sheehan,R
Illinois,38,Debbie Meyers-Martin,D
Illinois,39,Will Guzzardi,D
Illinois,40,Jaime Andrade Jr.,D
Illinois,41,Janet Yang Rohr,D
Illinois,42,Margaret DeLaRosa,D
Illinois,43,Anna Moeller,D
Illinois,44,Fred Crespo,D
Illinois,45,Martha Deuter,D
Illinois,46,Diane Blair-Sherlock,D
Illinois,47,Amy Grant,R
Illinois,48,Jennifer Sanalitro,R
Illinois,49,Maura Hirschauer,D
Illinois,50,Barbara Hernandez,D
Illinois,51,Nabeela Syed,D
Illinois,52,Martin McLaughlin,R
Illinois,53,Nicolle Grasse,D
Illinois,54,Mary Beth Canty,D
Illinois,55,Justin Cochran,D
Illinois,56,Michelle Mussman,D
Illinois,57,Tracy Katz Muhl,D
Illinois,58,Bob Morgan,D
Illinois,59,Daniel Didech,D
Illinois,60,Rita Mayfield,D
Illinois,61,Joyce Mason,D
Illinois,62,Laura Faver Dias,D
Illinois,63,Steve Reick,R
Illinois,64,Tom Weber,R
Illinois,65,Dan Ugaste,R
Illinois,66,Suzanne Ness,D
Illinois,67,Maurice West,D
Illinois,68,Dave Vella,D
Illinois,69,Joe Sosnowski,R
Illinois,70,Jeff Keicher,R
Illinois,71,Daniel Swanson,R
Illinois,72,Gregg Johnson,D
Illinois,73,Ryan Spain,R
Illinois,74,Bradley Fritts,R
Illinois,75,Jed Davis,R
Illinois,76,Murri Briel,D
Illinois,77,Norma Hernandez,D
Illinois,78,Camille Lilly,D
Illinois,79,Jackie Haas,R
Illinois,80,Anthony DeLuca,D
Illinois,81,Anne Stava,D
Illinois,82,Nicole La Ha,R
Illinois,83,Matt Hanson,D
Illinois,84,Stephanie Kifowit,D
Illinois,85,Dagmara Avelar,D
Illinois,86,Lawrence M. Walsh Jr.,D
Illinois,87,Bill Hauter,R
Illinois,88,Regan Deering,R
Illinois,89,Tony McCombie,R
Illinois,90,John Cabello,R
Illinois,91,Sharon Chung,D
Illinois,92,Jehan Gordon-Booth,D
Illinois,93,Travis Weaver,R
Illinois,94,Norine Hammond,R
Illinois,95,Michael Coffey,R
Illinois,96,Sue Scherer,D
Illinois,97,Harry Benton,D
Illinois,98,Natalie Manley,D
Illinois,99,Kyle Moore,R
Illinois,100,C. D. Davidsmeyer,R
Illinois,101,Chris Miller,R
Illinois,102,Adam Niemerg,R
Illinois,103,Carol Ammons,D
Illinois,104,Brandun Schweizer,R
Illinois,105,Dennis Tipsword,R
Illinois,106,Jason Bunting,R
Illinois,107,Brad Halbrook,R
Illinois,108,Wayne Rosenthal,R
Illinois,109,Charles Meier,R
Illinois,110,Blaine Wilhour,R
Illinois,111,Amy Elik,R
Illinois,112,Katie Stuart,D
Illinois,113,Jay Hoffman,D
Illinois,114,Kevin Schmidt,R
Illinois,115,David Friess,R
Illinois,116,Dave Severin,R
Illinois,117,Patrick Windhorst,R
Illinois,118,Paul Jacobs,R
Indiana,1,Carolyn Jackson,D
Indiana,2,Earl Harris Jr.,D
Indiana,3,Ragen Hatcher,D
Indiana,4,Edmond Soliday,R
Indiana,5,Dale DeVon,R
Indiana,6,Maureen Bauer,D
Indiana,7,Jake Teshka,R
Indiana,8,Ryan Dvorak,D
Indiana,9,Randy Novak,D
Indiana,10,Charles Moseley,D
Indiana,11,Michael Aylesworth,R
Indiana,12,Mike Andrade,D
Indiana,13,Matt Commons,R
Indiana,14,Vernon Smith,D
Indiana,15,Hal Slager,R
Indiana,16,Kendell Culp,R
Indiana,17,Jack Jordan,R
Indiana,18,David Abbott,R
Indiana,19,Julie Olthoff,R
Indiana,20,Jim Pressel,R
Indiana,21,Timothy Wesco,R
Indiana,22,Craig Snow,R
Indiana,23,Ethan Manning,R
Indiana,24,Hunter Smith,R
Indiana,25,Becky Cash,R
Indiana,26,Chris Campbell,D
Indiana,27,Sheila Klinker,D
Indiana,28,Jeff Thompson,R
Indiana,29,Alaina Shonkwiler,R
Indiana,30,Michael Karickhoff,R
Indiana,31,Lori Goss-Reaves,R
Indiana,32,Victoria Wilburn,D
Indiana,33,J.D. Prescott,R
Indiana,34,Sue Errington,D
Indiana,35,Elizabeth Rowray,R
Indiana,36,Kyle Pierce,R
Indiana,37,Todd Huston,R
Indiana,38,Heath VanNatter,R
Indiana,39,Danny Lopez,R
Indiana,40,Greg Steuerwald,R
Indiana,41,Mark Genda,R
Indiana,42,Tim Yocum,R
Indiana,43,Tonya Pfaff,D
Indiana,44,Beau Baird,R
Indiana,45,Bruce Borders,R
Indiana,46,Bob Heaton,R
Indiana,47,Robb Greene,R
Indiana,48,Douglas Miller,R
Indiana,49,Joanna King,R
Indiana,50,Lorissa Sweet,R
Indiana,51,Tony Isa,R
Indiana,52,Ben Smaltz,R
Indiana,53,Ethan Lawson,R
Indiana,54,Cory Criswell,R
Indiana,55,Lindsay Patterson,R
Indiana,56,Bradford Barrett,R
Indiana,57,Craig Haggard,R
Indiana,58,Michelle Davis,R
Indiana,59,Ryan Lauer,R
Indiana,60,Peggy Mayfield,R
Indiana,61,Matt Pierce,D
Indiana,62,Dave Hall,R
Indiana,63,Shane Lindauer,R
Indiana,64,Matt Hostettler,R
Indiana,65,Christopher May,R
Indiana,66,Zach Payne,R
Indiana,67,Alex Zimmerman,R
Indiana,68,Garrett Bascom,R
Indiana,69,Jim Lucas,R
Indiana,70,Karen Engleman,R
Indiana,71,Wendy Dant Chesser,D
Indiana,72,Edward Clere,I
Indiana,73,Jennifer Meltzer,R
Indiana,74,Stephen Bartels,R
Indiana,75,Cindy Ledbetter,R
Indiana,76,Wendy McNamara,R
Indiana,77,Alex Burton,D
Indiana,78,Tim O'Brien,R
Indiana,79,Matt Lehman,R
Indiana,80,Phil GiaQuinta,D
Indiana,81,Martin Carbaugh,R
Indiana,82,Kyle Miller,D
Indiana,83,Christopher Judy,R
Indiana,84,Robert Morris,R
Indiana,85,Dave Heine,R
Indiana,86,Ed DeLaney,D
Indiana,87,Carey Hamilton,D
Indiana,88,Chris Jeter,R
Indiana,89,Mitch Gore,D
Indiana,90,Andrew Ireland,R
Indiana,91,Robert Behning,R
Indiana,92,Renee Pack,D
Indiana,93,Julie McGuire,R
Indiana,94,Cherrish Pryor,D
Indiana,95,John Bartlett,D
Indiana,96,Greg Porter,D
Indiana,97,Justin Moed,D
Indiana,98,Robin Shackleford,D
Indiana,99,Vanessa Summers,D
Indiana,100,Blake Johnson,D
Iowa,1,J. D. Scholten,D
Iowa,2,Robert Henderson,R
Iowa,3,Thomas Jeneary,R
Iowa,4,Skyler Wheeler,R
Iowa,5,Zach Dieken,R
Iowa,6,Megan Jones,R
Iowa,7,Wendy Larson,R
Iowa,8,Ann Meyer,R
Iowa,9,Henry Stone,R
Iowa,10,John Wills,R
Iowa,11,Craig Williams,R
Iowa,12,Steven Holt,R
Iowa,13,Travis Sitzmann,R
Iowa,14,Jacob Bossman,R
Iowa,15,Matt Windschitl,R
Iowa,16,David Sieck,R
Iowa,17,Devon Wood,R
Iowa,18,Tom Moore,R
Iowa,19,Brent Siegrist,R
Iowa,20,Josh Turek,D
Iowa,21,Brooke Boden,R
Iowa,22,Samantha Fett,R
Iowa,23,Ray Sorensen,R
Iowa,24,Sam Wengryn,R
Iowa,25,Hans Wilz,R
Iowa,26,Austin Harris,R
Iowa,27,Kenan Judge,D
Iowa,28,David Young,R
Iowa,29,Brian Meyer,D
Iowa,30,Megan Srinivas,D
Iowa,31,Mary Madison,D
Iowa,32,Jennifer Konfrst,D
Iowa,33,Ruth Ann Gaines,D
Iowa,34,Rob Johnson,D
Iowa,35,Sean Bagniewski,D
Iowa,36,Austin Baeth,D
Iowa,37,Barb Kniff McCulla,R
Iowa,38,Jon Dunwell,R
Iowa,39,Rick Olson,D
Iowa,40,Bill Gustoff,R
Iowa,41,Ryan Weldon,R
Iowa,42,Heather Matson,D
Iowa,43,Eddie Andrews,R
Iowa,44,Larry McBurney,D
Iowa,45,Brian Lohse,R
Iowa,46,Dan Gehlbach,R
Iowa,47,Carter Nordman,R
Iowa,48,Chad Behn,R
Iowa,49,Beth Wessel-Kroeschell,D
Iowa,50,Ross Wilburn,D
Iowa,51,Brett Barker,R
Iowa,52,David Blom,R
Iowa,53,Dean Fisher,R
Iowa,54,Joshua Meggers,R
Iowa,55,Shannon Latham,R
Iowa,56,Mark Thompson,R
Iowa,57,Pat Grassley,R
Iowa,58,Charley Thomson,R
Iowa,59,Christian Hermanson,R
Iowa,60,Jane Bloomingdale,R
Iowa,61,Timi Brown-Powers,D
Iowa,62,Jerome Amos Jr.,D
Iowa,63,Michael Bergan,R
Iowa,64,Jason Gearhart,R
Iowa,65,Shannon Lundgren,R
Iowa,66,Steve Bradley,R
Iowa,67,Craig Johnson,R
Iowa,68,Chad Ingels,R
Iowa,69,Tom Determann,R
Iowa,70,Norlin Mommsen,R
Iowa,71,Lindsay James,D
Iowa,72,Jennifer Smith,R
Iowa,73,Elizabeth Wilson,D
Iowa,74,Eric Gjerde,D
Iowa,75,Bob Kressig,D
Iowa,76,Derek Wulf,R
Iowa,77,Jeff Cooling,D
Iowa,78,Angel Ramirez,D
Iowa,79,Tracy Ehlert,D
Iowa,80,Aime Wichtendahl,D
Iowa,81,Daniel Gosa,D
Iowa,82,Bobby Kaufmann,R
Iowa,83,Cindy Golding,R
Iowa,84,Thomas Gerhold,R
Iowa,85,Amy Nielsen,D
Iowa,86,David Jacoby,D
Iowa,87,Jeff Shipley,R
Iowa,88,Helena Hayes,R
Iowa,89,Elinor Levin,D
Iowa,90,Adam Zabner,D
Iowa,91,Judd Lawler,R
Iowa,92,Heather Hora,R
Iowa,93,Gary Mohr,R
Iowa,94,Mike Vondran,R
Iowa,95,Taylor Collins,R
Iowa,96,Mark Cisneros,R
Iowa,97,Ken Croken,D
Iowa,98,Monica Kurth,D
Iowa,99,Matthew Rinker,R
Iowa,100,Blaine Watkins,R
Kansas,1,Dale Helwig,R
Kansas,2,Kenneth Collins,R
Kansas,3,Chuck Smith,R
Kansas,4,Rick James,R
Kansas,5,Carrie Barth,R
Kansas,6,Samantha Poetter Parshall,R
Kansas,7,Dan Goddard,R
Kansas,8,Chris Croft,R
Kansas,9,Fred Gardner,R
Kansas,10,Suzanne Wikle,D
Kansas,11,Ron Bryce,R
Kansas,12,Doug Blex,R
Kansas,13,Duane Droge,R
Kansas,14,Charlotte Esau,R
Kansas,15,Lauren Bohi,R
Kansas,16,Linda Featherston,D
Kansas,17,Jo Ella Hoye,D
Kansas,18,Cindy Neighbor,D
Kansas,19,Stephanie Clayton,D
Kansas,20,Mari-Lynn Poskin,D
Kansas,21,Jerry Stogsdill,D
Kansas,22,Lindsay Vaughn,D
Kansas,23,Susan Ruiz,D
Kansas,24,Jarrod Ousley,D
Kansas,25,Rui Xu,D
Kansas,26,Chip VanHouden,R
Kansas,27,Sean Tarwater,R
Kansas,28,Carl Turner,R
Kansas,29,Heather Meyer,D
Kansas,30,Laura Williams,R
Kansas,31,Louis Ruiz,D
Kansas,32,Pam Curtis,D
Kansas,33,Carolyn Caiharr,R
Kansas,34,Valdenia Winn,D
Kansas,35,Wanda Brownlee Paige,D
Kansas,36,Lynn Melton,D
Kansas,37,Melissa Oropeza,D
Kansas,38,Timothy H. Johnson,R
Kansas,39,Angela Stiens,R
Kansas,40,David Buehler,R
Kansas,41,Pat Proctor,R
Kansas,42,Lance Neelly,R
Kansas,43,Bill Sutton,R
Kansas,44,Barbara Ballard,D
Kansas,45,Mike Amyx,D
Kansas,46,Brooklynne Mosley,D
Kansas,47,Ronald Ellis,R
Kansas,48,Dan Osman,D
Kansas,49,Nikki McDonald,D
Kansas,50,Kyle McNorton,R
Kansas,51,Megan Steele,R
Kansas,52,Jesse Borjon,R
Kansas,53,Kirk Haskins,D
Kansas,54,Ken Corbet,R
Kansas,55,Tobias Schlingensiepen,D
Kansas,56,Virgil Weigel,D
Kansas,57,John Alcala,D
Kansas,58,Alexis Simmons,D
Kansas,59,Rebecca Schmoe,R
Kansas,60,Mark Schreiber,R
Kansas,61,Francis Awerkamp,R
Kansas,62,Sean Willcott,R
Kansas,63,Allen Reavis,R
Kansas,64,Lewis Bloom,R
Kansas,65,Shawn Chauncey,R
Kansas,66,Sydney Carlin,D
Kansas,67,Angelina Roeser,R
Kansas,68,Nathan Butler,R
Kansas,69,Clarke Sanders,R
Kansas,70,Greg Wilson,R
Kansas,71,Steven Howe,R
Kansas,72,Avery Anderson,R
Kansas,73,Rick Wilborn,R
Kansas,74,Mike King,R
Kansas,75,Will Carpenter,R
Kansas,76,Bradley Barrett,R
Kansas,77,Kristey Williams,R
Kansas,78,Robyn Essex,R
Kansas,79,Webster Roth,R
Kansas,80,Bill Rhiley,R
Kansas,81,Blake Carpenter,R
Kansas,82,Leah Howell,R
Kansas,83,Henry Helgerson,D
Kansas,84,Ford Carr,D
Kansas,85,Steve Brunk,R
Kansas,86,Abi Boatman,D
Kansas,87,Susan Estes,R
Kansas,88,Sandy Pickert,R
Kansas,89,KC Ohaebosim,D
Kansas,90,Steve Huebert,R
Kansas,91,Emil Bergquist,R
Kansas,92,John Carmichael,D
Kansas,93,Brian Bergkamp,R
Kansas,94,Leo Delperdang,R
Kansas,95,Tom Sawyer,D
Kansas,96,Tom Kessler,R
Kansas,97,Nick Hoheisel,R
Kansas,98,Cyndi Howerton,R
Kansas,99,Susan Humphries,R
Kansas,100,Daniel Hawkins,R
Kansas,101,Joe Seiwert,R
Kansas,102,Kyler Sweely,R
Kansas,103,Angela Martinez,D
Kansas,104,Paul Waggoner,R
Kansas,105,Jill Ward,R
Kansas,106,Lisa Moser,R
Kansas,107,Dawn Wolf,R
Kansas,108,Brandon Woodard,D
Kansas,109,Troy Waymaster,R
Kansas,110,Ken Rahjes,R
Kansas,111,Barb Wasinger,R
Kansas,112,Sherri Brantley,R
Kansas,113,Brett Fairchild,R
Kansas,114,Kevin Schwertfeger,R
Kansas,115,Gary White,R
Kansas,116,Kyle Hoffman,R
Kansas,117,Adam Turk,R
Kansas,118,Jim Minnix,R
Kansas,119,Jason Goetz,R
Kansas,120,Adam Smith,R
Kansas,121,Vacant,
Kansas,122,Lon Pishny,R
Kansas,123,Bob Lewis,R
Kansas,124,Marty Long,R
Kansas,125,Shannon Francis,R
Kentucky,1,Steven Rudy,R
Kentucky,2,Kim Holloway,R
Kentucky,3,Randy Bridges,R
Kentucky,4,Wade Williams,R
Kentucky,5,Mary Beth Imes,R
Kentucky,6,Chris Freeland,R
Kentucky,7,Suzanne Miles,R
Kentucky,8,Walker Thomas,R
Kentucky,9,Myron Dossett,R
Kentucky,10,Josh Calloway,R
Kentucky,11,J. T. Payne,R
Kentucky,12,Jim Gooch Jr.,R
Kentucky,13,DJ Johnson,R
Kentucky,14,Scott Lewis,R
Kentucky,15,Rebecca Raymer,R
Kentucky,16,Jason Petrie,R
Kentucky,17,Robert Duvall,R
Kentucky,18,Samara Heavrin,R
Kentucky,19,Michael Meredith,R
Kentucky,20,Kevin Jackson,R
Kentucky,21,Amy Neighbors,R
Kentucky,22,Shawn McPherson,R
Kentucky,23,Steve Riley,R
Kentucky,24,Ryan Bivens,R
Kentucky,25,Steve Bratcher,R
Kentucky,26,Peyton Griffee,R
Kentucky,27,Nancy Tate,R
Kentucky,28,Jared Bauman,R
Kentucky,29,Chris Lewis,R
Kentucky,30,Daniel Grossberg,D
Kentucky,31,Susan Witten,R
Kentucky,32,Tina Bojanowski,D
Kentucky,33,Jason Nemes,R
Kentucky,34,Sarah Stalker,D
Kentucky,35,Lisa Willner,D
Kentucky,36,John Hodgson,R
Kentucky,37,Emily Callaway,R
Kentucky,38,Rachel Roarx,D
Kentucky,39,Matt Lockett,R
Kentucky,40,Nima Kulkarni,D
Kentucky,41,Mary Lou Marzian,D
Kentucky,42,Joshua Watkins,D
Kentucky,43,Pamela Stevenson,D
Kentucky,44,Beverly Chester-Burton,D
Kentucky,45,Adam Moore,D
Kentucky,46,Al Gentry,D
Kentucky,47,Felicia Rabourn,R
Kentucky,48,Ken Fleming,R
Kentucky,49,Thomas Huff,R
Kentucky,50,Candy Massaroni,R
Kentucky,51,Michael Pollock,R
Kentucky,52,Ken Upchurch,R
Kentucky,53,James Tipton,R
Kentucky,54,Daniel Elliott,R
Kentucky,55,Kim King,R
Kentucky,56,Daniel Fister,R
Kentucky,57,Erika Hancock,D
Kentucky,58,Jennifer Decker,R
Kentucky,59,David W. Osborne,R
Kentucky,60,Marianne Proctor,R
Kentucky,61,Savannah Maddox,R
Kentucky,62,Tony Hampton,R
Kentucky,63,Kim Banta,R
Kentucky,64,Kimberly Poore Moser,R
Kentucky,65,Stephanie Dietz,R
Kentucky,66,T. J. Roberts,R
Kentucky,67,Matthew Lehman,D
Kentucky,68,Mike Clines,R
Kentucky,69,Steven Doan,R
Kentucky,70,William Lawrence,R
Kentucky,71,Josh Bray,R
Kentucky,72,Matthew Koch,R
Kentucky,73,Ryan Dotson,R
Kentucky,74,David Hale,R
Kentucky,75,Lindsey Burke,D
Kentucky,76,Anne Gay Donworth,D
Kentucky,77,George Brown Jr.,D
Kentucky,78,Mark Hart,R
Kentucky,79,Chad Aull,D
Kentucky,80,David Meade,R
Kentucky,81,Deanna Gordon,R
Kentucky,82,Nick Wilson,R
Kentucky,83,Josh Branscum,R
Kentucky,84,Chris Fugate,R
Kentucky,85,Shane Baker,R
Kentucky,86,Tom Smith,R
Kentucky,87,Adam Bowling,R
Kentucky,88,Vanessa Grossl,R
Kentucky,89,Timmy Truett,R
Kentucky,90,Derek Lewis,R
Kentucky,91,Bill Wesley,R
Kentucky,92,John Blanton,R
Kentucky,93,Adrielle Camuel,D
Kentucky,94,Mitch Whitaker,R
Kentucky,95,Ashley Tackett Laferty,D
Kentucky,96,Patrick Flannery,R
Kentucky,97,Bobby McCool,R
Kentucky,98,Aaron Thompson,R
Kentucky,99,Richard White,R
Kentucky,100,Scott Sharp,R
Louisiana,1,Danny McCormick,R
Louisiana,2,Steven Jackson,D
Louisiana,3,Tammy Phelps,D
Louisiana,4,Joy Walters,D
Louisiana,5,Dennis Bamburg Jr.,R
Louisiana,6,Michael Melerine,R
Louisiana,7,Larry Bagley,R
Louisiana,8,Raymond Crews,R
Louisiana,9,Dodie Horton,R
Louisiana,10,Wayne McMahen,R
Louisiana,11,Rashid Armand Young,D
Louisiana,12,Chris Turner,R
Louisiana,13,Jack McFarland,R
Louisiana,14,Michael Echols,R
Louisiana,15,Foy Gadberry,R
Louisiana,16,Adrian Fisher,D
Louisiana,17,Pat Moore,D
Louisiana,18,Jeremy LaCombe,R
Louisiana,19,Francis C. Thompson,R
Louisiana,20,Neil Riser,R
Louisiana,21,C. Travis Johnson,D
Louisiana,22,Gabe Firment,R
Louisiana,23,Shaun Mena,D
Louisiana,24,Rodney Schamerhorn,R
Louisiana,25,Jason Brian DeWitt,R
Louisiana,26,Ed Larvadain III,D
Louisiana,27,Michael T. Johnson,R
Louisiana,28,Daryl Deshotel,R
Louisiana,29,Edmond Jordan,D
Louisiana,30,Charles Owen,R
Louisiana,31,Troy Hebert,R
Louisiana,32,R. Dewith Carrier,R
Louisiana,33,Les Farnum,R
Louisiana,34,Wilford Carter,D
Louisiana,35,Brett Geymann,R
Louisiana,36,Phillip Tarver,R
Louisiana,37,Reese Broussard,R
Louisiana,38,Rhonda Butler,R
Louisiana,39,Vacant,
Louisiana,40,Dustin Miller,D
Louisiana,41,Phillip DeVillier,R
Louisiana,42,Chance Keith Henry,R
Louisiana,43,Josh Carlson,R
Louisiana,44,Tehmi Jahi Chassion,D
Louisiana,45,Annie Spell,R
Louisiana,46,Chad Michael Boyer,R
Louisiana,47,Ryan Bourriaque,R
Louisiana,48,Beau Beaullieu,R
Louisiana,49,Jacob Jules Gabriel Landry,R
Louisiana,50,Vincent St. Blanc III,R
Louisiana,51,Beryl Amedee,R
Louisiana,52,Jerome Zeringue,R
Louisiana,53,Jessica Domangue,R
Louisiana,54,Joseph Orgeron,R
Louisiana,55,Bryan Fontenot,R
Louisiana,56,Beth Anne Billings,R
Louisiana,57,Sylvia Elaine Taylor,D
Louisiana,58,Ken Brass,D
Louisiana,59,Tony Bacala,R
Louisiana,60,Chasity Martinez,D
Louisiana,61,C. Denise Marcelle,D
Louisiana,62,Roy Daryl Adams,D
Louisiana,63,Barbara West Carpenter,D
Louisiana,64,Kellee Hennessy Dickerson,R
Louisiana,65,Lauren Ventrella,R
Louisiana,66,Emily Chenevert,R
Louisiana,67,Terry Landry Jr.,D
Louisiana,68,Dixon McMakin,R
Louisiana,69,Vacant,
Louisiana,70,Barbara Reich Freiberg,R
Louisiana,71,Roger William Wilder III,R
Louisiana,72,Robby Carter,D
Louisiana,73,Kimberly Coates,R
Louisiana,74,Peter F. Egan,R
Louisiana,75,John Wyble,R
Louisiana,76,Stephanie Berault,R
Louisiana,77,Mark Wright,R
Louisiana,78,John Illg,R
Louisiana,79,Debbie Villio,R
Louisiana,80,Polly Thomas,R
Louisiana,81,Jeffrey Wiley,R
Louisiana,82,Laurie Schlegel,R
Louisiana,83,Kyle Green,D
Louisiana,84,Tim Kerner,R
Louisiana,85,Vincent Cox III,R
Louisiana,86,Nicholas Muscarello,R
Louisiana,87,Rodney Lyons,D
Louisiana,88,Kathy Edmonston,R
Louisiana,89,Christopher Kim Carver,R
Louisiana,90,Brian Glorioso,R
Louisiana,91,Mandie Landry,D
Louisiana,92,Joseph A. Stagni,R
Louisiana,93,Alonzo Knox,D
Louisiana,94,Stephanie Hilferty,R
Louisiana,95,Shane Mack,R
Louisiana,96,Marcus Bryant,D
Louisiana,97,Ed Murray,D
